Year,date_progress,State,STATEFP,Progress
2017,18/09/2016,KANSAS,20,9
2017,18/09/2016,LOUISIANA,22,0
2017,18/09/2016,MICHIGAN,26,8
2017,18/09/2016,MISSISSIPPI,28,0
2017,18/09/2016,MISSOURI,29,0
2017,18/09/2016,MONTANA,30,23
2017,18/09/2016,NEBRASKA,31,45
2017,18/09/2016,NEW MEXICO,35,30
2017,18/09/2016,NEW YORK,36,12
2017,18/09/2016,NORTH CAROLINA,37,0
2017,18/09/2016,NORTH DAKOTA,38,36
2017,18/09/2016,OHIO,39,1
2017,18/09/2016,OKLAHOMA,40,19
2017,18/09/2016,OREGON,41,9
2017,18/09/2016,PENNSYLVANIA,42,6
2017,18/09/2016,SOUTH DAKOTA,46,20
2017,18/09/2016,TEXAS,48,14
2017,18/09/2016,UTAH,49,43
2017,18/09/2016,VIRGINIA,51,0
2017,18/09/2016,WASHINGTON,53,44
2017,18/09/2016,WISCONSIN,55,18
2017,18/09/2016,WYOMING,56,59
2017,25/09/2016,ARKANSAS,5,3
2017,25/09/2016,CALIFORNIA,6,4
2017,25/09/2016,COLORADO,8,55
2017,25/09/2016,DELAWARE,10,1
2017,25/09/2016,IDAHO,16,38
2017,25/09/2016,ILLINOIS,17,1
2017,25/09/2016,INDIANA,18,6
2017,25/09/2016,KANSAS,20,20
2017,25/09/2016,KENTUCKY,21,2
2017,25/09/2016,LOUISIANA,22,0
2017,25/09/2016,MARYLAND,24,3
2017,25/09/2016,MICHIGAN,26,18
2017,25/09/2016,MISSISSIPPI,28,0
2017,25/09/2016,MISSOURI,29,3
2017,25/09/2016,MONTANA,30,46
2017,25/09/2016,NEBRASKA,31,72
2017,25/09/2016,NEW MEXICO,35,55
2017,25/09/2016,NEW YORK,36,32
2017,25/09/2016,NORTH CAROLINA,37,0
2017,25/09/2016,NORTH DAKOTA,38,53
2017,25/09/2016,OHIO,39,5
2017,25/09/2016,OKLAHOMA,40,25
2017,25/09/2016,OREGON,41,15
2017,25/09/2016,PENNSYLVANIA,42,27
2017,25/09/2016,SOUTH CAROLINA,45,0
2017,25/09/2016,SOUTH DAKOTA,46,42
2017,25/09/2016,TENNESSEE,47,1
2017,25/09/2016,TEXAS,48,30
2017,25/09/2016,UTAH,49,58
2017,25/09/2016,VIRGINIA,51,1
2017,25/09/2016,WASHINGTON,53,65
2017,25/09/2016,WISCONSIN,55,22
2017,25/09/2016,WYOMING,56,77
2017,02/10/2016,ALABAMA,1,0
2017,02/10/2016,ARKANSAS,5,7
2017,02/10/2016,CALIFORNIA,6,7
2017,02/10/2016,COLORADO,8,74
2017,02/10/2016,DELAWARE,10,5
2017,02/10/2016,GEORGIA,13,0
2017,02/10/2016,IDAHO,16,50
2017,02/10/2016,ILLINOIS,17,6
2017,02/10/2016,INDIANA,18,12
2017,02/10/2016,KANSAS,20,40
2017,02/10/2016,KENTUCKY,21,5
2017,02/10/2016,LOUISIANA,22,0
2017,02/10/2016,MARYLAND,24,10
2017,02/10/2016,MICHIGAN,26,28
2017,02/10/2016,MISSISSIPPI,28,2
2017,02/10/2016,MISSOURI,29,9
2017,02/10/2016,MONTANA,30,70
2017,02/10/2016,NEBRASKA,31,85
2017,02/10/2016,NEW MEXICO,35,65
2017,02/10/2016,NEW YORK,36,55
2017,02/10/2016,NORTH CAROLINA,37,0
2017,02/10/2016,NORTH DAKOTA,38,72
2017,02/10/2016,OHIO,39,10
2017,02/10/2016,OKLAHOMA,40,42
2017,02/10/2016,OREGON,41,30
2017,02/10/2016,PENNSYLVANIA,42,49
2017,02/10/2016,SOUTH CAROLINA,45,0
2017,02/10/2016,SOUTH DAKOTA,46,56
2017,02/10/2016,TENNESSEE,47,8
2017,02/10/2016,TEXAS,48,35
2017,02/10/2016,UTAH,49,79
2017,02/10/2016,VIRGINIA,51,6
2017,02/10/2016,WASHINGTON,53,74
2017,02/10/2016,WEST VIRGINIA,54,4
2017,02/10/2016,WISCONSIN,55,34
2017,02/10/2016,WYOMING,56,96
2017,09/10/2016,ALABAMA,1,2
2017,09/10/2016,ARKANSAS,5,14
2017,09/10/2016,CALIFORNIA,6,8
2017,09/10/2016,COLORADO,8,87
2017,09/10/2016,DELAWARE,10,10
2017,09/10/2016,GEORGIA,13,1
2017,09/10/2016,IDAHO,16,72
2017,09/10/2016,ILLINOIS,17,20
2017,09/10/2016,INDIANA,18,28
2017,09/10/2016,KANSAS,20,58
2017,09/10/2016,KENTUCKY,21,13
2017,09/10/2016,LOUISIANA,22,1
2017,09/10/2016,MARYLAND,24,17
2017,09/10/2016,MICHIGAN,26,40
2017,09/10/2016,MISSISSIPPI,28,7
2017,09/10/2016,MISSOURI,29,23
2017,09/10/2016,MONTANA,30,79
2017,09/10/2016,NEBRASKA,31,95
2017,09/10/2016,NEW MEXICO,35,85
2017,09/10/2016,NEW YORK,36,76
2017,09/10/2016,NORTH CAROLINA,37,3
2017,09/10/2016,NORTH DAKOTA,38,85
2017,09/10/2016,OHIO,39,31
2017,09/10/2016,OKLAHOMA,40,65
2017,09/10/2016,OREGON,41,58
2017,09/10/2016,PENNSYLVANIA,42,61
2017,09/10/2016,SOUTH CAROLINA,45,1
2017,09/10/2016,SOUTH DAKOTA,46,80
2017,09/10/2016,TENNESSEE,47,26
2017,09/10/2016,TEXAS,48,48
2017,09/10/2016,UTAH,49,86
2017,09/10/2016,VIRGINIA,51,11
2017,09/10/2016,WASHINGTON,53,81
2017,09/10/2016,WEST VIRGINIA,54,19
2017,09/10/2016,WISCONSIN,55,52
2017,16/10/2016,ALABAMA,1,3
2017,16/10/2016,ARKANSAS,5,28
2017,16/10/2016,CALIFORNIA,6,14
2017,16/10/2016,COLORADO,8,96
2017,16/10/2016,DELAWARE,10,11
2017,16/10/2016,GEORGIA,13,6
2017,16/10/2016,IDAHO,16,83
2017,16/10/2016,ILLINOIS,17,43
2017,16/10/2016,INDIANA,18,52
2017,16/10/2016,KANSAS,20,73
2017,16/10/2016,KENTUCKY,21,30
2017,16/10/2016,LOUISIANA,22,3
2017,16/10/2016,MARYLAND,24,20
2017,16/10/2016,MICHIGAN,26,56
2017,16/10/2016,MISSISSIPPI,28,10
2017,16/10/2016,MISSOURI,29,37
2017,16/10/2016,MONTANA,30,84
2017,16/10/2016,NEBRASKA,31,99
2017,16/10/2016,NEW MEXICO,35,98
2017,16/10/2016,NEW YORK,36,85
2017,16/10/2016,NORTH CAROLINA,37,6
2017,16/10/2016,NORTH DAKOTA,38,92
2017,16/10/2016,OHIO,39,61
2017,16/10/2016,OKLAHOMA,40,78
2017,16/10/2016,OREGON,41,68
2017,16/10/2016,PENNSYLVANIA,42,73
2017,16/10/2016,SOUTH CAROLINA,45,4
2017,16/10/2016,SOUTH DAKOTA,46,96
2017,16/10/2016,TENNESSEE,47,38
2017,16/10/2016,TEXAS,48,65
2017,16/10/2016,UTAH,49,90
2017,16/10/2016,VIRGINIA,51,20
2017,16/10/2016,WASHINGTON,53,89
2017,16/10/2016,WEST VIRGINIA,54,30
2017,16/10/2016,WISCONSIN,55,70
2017,23/10/2016,ALABAMA,1,11
2017,23/10/2016,ARKANSAS,5,45
2017,23/10/2016,CALIFORNIA,6,31
